text	href	description	space	category
Therapy for Black Girls	https://providers.therapyforblackgirls.com/	Therapy for Black Girls is an online space dedicated to encouraging the mental wellness of Black women and girls.	Healing	Therapy
Sister Afya	https://www.sistaafya.com/therapy	Sista Afya is a social enterprise that provides low-cost mental wellness care that center the experiences of Black women.	Healing	Therapy
Ethel's Club	https://www.ethelsclub.com/	Ethel's Club is a social club and co-working space developed to serve people of color and allies.	Healing	Therapy
Inclusive Therapists	https://www.inclusivetherapists.com/	Inclusive Therapists is a mental health group that places emphasis on the needs of the BIPOC and LGBTQ+ community.	Healing	Therapy
Caring Matters	https://www.caringmatters.org/supportgroups	CaringMatters (founded as Hospice Caring in 1989) serves children, adults and families facing serious illness and grieving the death of a loved one. CaringMatters also increases community awareness and advocacy about end-of-life concerns, advance care planning and grief.	Healing	Support Groups
Office for Victims of Crime	https://ovc.ojp.gov/sites/g/files/xyckuh226/files/pubs/mvt-toolkit/tools.html	The Office for Victims of Crime seeks to help communities prepare for and respond to mass violence and terrorism in the most timely, effective, and compassionate manner possible.	Healing	Support Groups
Black Women's Blueprint	https://www.blackwomensblueprint.org	Black Women's Blueprint provides services and spaces for healing, reconciliation and human connection with the natural world. Working with land, we bring people together to design and practice strategies for healing, health and reparative economics.	Healing	Support Groups
How To Build A Community	https://nmaahc.si.edu/learn/talking-about-race/topics/community-building	Connecting and interacting with others is important for conversations regarding identity and equity. The National Museum of African American History & Cultures provides the benefits of community building and guidelines for community building in equity work.	Action	Where To Start Building A Community
Coalition of Concerned Mothers	http://www.cocmdmv.org/	The Coalition of Concerned Mothers supports you in advocating for legislative change, providing you with resources to enact change and a community of mothers who understand what you're going through. COCM's vision is to enact change to address the root causes of community and state-sanctioned violence against Black communities on a local and national level. The organization collaborates closely with families affected by police brutality, concerned citizens, law enforcement agents, legislators, policymakers, and allied organizations to advocate for social justice and human rights. 	Action	Where To Start Building A Community
Campaign Zero	https://campaignzero.org/	Campaign Zero is a non-profit organization that encourages policy makers at every level of government to focus on creating the most effective solutions for reducing police brutality.	Action	Where To Start Building A Community
Community Resource Hub	https://communityresourcehub.org/	The Community Resource Hub provides resources for local advocates and organizers who are promoting awareness to the harms of policing in the United States. This resource is also for people seeking community safety and accountability outside of the criminal justice system. The website ensures that everyone has equitable access to the tools and resources they need to advocate for legislative change and accountability in law enforcement. 	Action	Where To Start Building A Community
National Council on Independent Living's Resources for Running for Office	https://ncil.org/run-for-office/	The National Council on Independent Living provides you with programs, organizations, and books that support and train you in running for office.	Action	Running For Office
Running For Something	https://runforsomething.net/	Running for Something recruits individuals nationwide to run for state or local office. They provide resources for new progressive leaders to help them run grassroots campaigns.	Action	Running For Office
